squirrel_id,sex,year,observer,cohort,grid,trialnumber,trialdate,taglft,tagrt,colours,walk,jump,hole,hang,chew,groom,still,oft_duration,front,back,attack,attacklatency,approachlatency,mis_duration,collar,comments,mastyear,litter_id,fieldBDate,litter_size,n1_date,n1_weight,n2_date,n2_weight,dam_id,part,julian_trialdate,oft1,mis1,gridyear
23573,F,2018,ARM,2018,KL,1,6/29/18,F9212,F9213,O*/R,98.616,19,7,295.912,45.762,6.273,192.03,450,207.305,63.363,0,296.53,0.034,300,Y,NA,0,8778,4/30/18,2,126,15.2,5/27/18,52.2,21023,120,180,0.3461297719723395,0.3825230763673439,KL 2018
23464,F,2018,ARM,2018,KL,1,6/26/18,F9209,F9210,Y*/O,128.95,34,7,156.69,3.972,2.302,240.511,450,299.364,0,0,265.698,0.401,300,Y,NA,0,8709,4/25/18,3,115,11,5/23/18,52,19764,115,177,0.5187795035151382,1.1782814970093982,KL 2018
23492,F,2018,ARM,2018,KL,1,6/23/18,F9337,F9338,G*/B,171.28,28,23,120.622,25.022,10.845,200.677,450,0.266,237.61,0,296.668,0.6,300,Y,NA,0,8718,4/27/18,3,118,12.7,5/23/18,56.5,19984,117,174,1.9919002629159406,-1.316266826,KL 2018
23505,M,2018,ARM,2018,KL,1,6/28/18,F9478,M9479,G*/W,331.036,41,6,11.211,13.436,13.945,74.994,450,233.73,42.577,0,290.856,0.934,300,Y,NA,0,8843,4/29/18,3,120,12.1,5/24/18,43.8,22297,119,179,2.975912605393981,0.6086030994110357,KL 2018
23387,F,2018,ARM,2018,KL,1,6/10/18,M5990,M5991,G*/G*,123.992,21,14,99.1,86.371,18.026,148.535,450,4.671,291.624,0,280.414,175.108,300,Y,NA,0,8927,4/19/18,2,109,10.8,5/14/18,48.2,19846,109,161,1.792322261628334,-2.141477244,KL 2018
23520,F,2018,ARM,2018,KL,1,6/20/18,F9472,F9473,Y*/W*,12.186,5,2,41.942,10.775,8.109,408.179,450,19.519,242.207,0,288.087,288.087,300,Y,NA,0,8790,4/29/18,2,121,13.2,5/27/18,71.4,21350,119,171,-1.637052905,-2.309163067,KL 2018
23577,M,2018,ARM,2018,KL,1,7/4/18,F9460,F9461,O/O*,72.483,10,5,1.668,113.261,43.009,255.702,450,0.499,298.097,0,295.886,295.886,300,Y,NA,0,8842,5/3/18,3,126,13.1,5/30/18,42.8,22296,123,185,0.5530954031961279,-2.698791173,KL 2018
23496,M,2018,ARM,2018,KL,1,6/13/18,F9288,F9289,Y*/Y,110.861,32,3,250.902,33.963,22.055,188.067,450,299.998,0,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,8784,4/23/18,2,118,20,5/21/18,67.1,21215,113,164,0.3886565926831921,-0.06987842,KL 2018
23607,M,2018,ARM,2018,KL,1,7/7/18,M5524,M5596,B/W*,26.465,13,2,402.552,1.268,3.304,271.014,450,299.998,0,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,8738,5/3/18,3,128,12.8,5/30/18,40.1,20297,123,188,-1.455725884,-0.06987842,KL 2018
23578,F,2018,ARM,2018,KL,1,7/7/18,F9458,F9459,Y/G*,28.132,10,4,58.59,10.674,17.885,372.02,450,300,0,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,8842,5/3/18,3,126,12.4,5/30/18,41.1,22296,123,188,-1.223017993,-0.069869528,KL 2018
