squirrel_id,sex,year,observer,cohort,grid,trialnumber,trialdate,taglft,tagrt,colours,walk,jump,hole,hang,chew,groom,still,oft_duration,front,back,attack,attacklatency,approachlatency,mis_duration,collar,comments,mastyear,litter_id,fieldBDate,litter_size,n1_date,n1_weight,n2_date,n2_weight,dam_id,part,julian_trialdate,gridyear,oft1,mis1
7847,F,2005,AKB,2005,SU,1,2005-09-14,48660,48661,NA,73.89,30,33.98,38.295,0,37.8,101.295,450,35.88,132.15,0,300,49.17,300,NA,NA,1,3362,2005-07-08,5,191,12,2005-08-11,81,7926,189,257,SU 2005,1.0845743729891453,-0.8084539924013899
6472,M,2005,AKB,2005,SU,1,2005-09-05,46805,46806,NA,143.055,110,15.08,116.775,15.795,6.03,18.9,450,83.1,62.97,0,300,52.3,300,NA,NA,1,3354,2005-06-04,2,158,15,2005-07-13,73,7584,155,248,SU 2005,2.4964866549895146,-0.3145965489874834
7201,M,2005,AKB,2005,KL,1,2005-08-20,46847,46848,NA,121.815,67,30,123.525,2.385,10.89,32.985,450,178.92,50.49,0,300,79.93,300,NA,NA,1,3279,2005-06-15,6,166,10,2005-07-23,73,7833,166,232,KL 2005,2.0676222101584023,0.07021096473307589
7546,F,2005,AKB,2005,SU,1,2005-09-01,46725,46726,NA,58.95,19,18,65.475,0.585,15.615,225.99,450,0,258.93,0,300,182.4,300,NA,NA,1,3358,2005-05-16,3,137,9,2005-06-22,55,7768,136,244,SU 2005,-0.26180241594722614,-2.0115616030954255
7118,M,2005,AKB,2005,KL,1,2005-08-28,46825,46826,NA,82.98,41,22.05,50.31,2.7,24.255,201.24,450,6,255.84,0,300,184.56,300,NA,NA,1,3282,2005-06-09,4,162,11,2005-07-19,61,8727,160,240,KL 2005,0.5276977456998727,-1.9794246536227635
6589,M,2005,AKB,2005,SU,1,2005-09-07,46861,46862,NA,67.905,71,16.05,189.36,0,15.615,52.2,450,4.5,282.99,0,300,218.2,300,NA,NA,1,3346,2005-07-01,3,183,10,2005-08-08,78,7172,182,250,SU 2005,0.9604798489171132,-2.2282853092777297
7124,M,2005,AKB,2005,KL,1,2005-08-02,46729,48619,NA,114.12,59,45,102.645,0.315,5.85,76.77,450,46.86,1.71,0,300,236.17,300,NA,NA,1,3272,2005-05-13,4,136,15,2005-06-19,75,7451,133,214,KL 2005,2.356066887161475,-0.9238817763321258
10160,F,2005,AKB,2005,SU,1,2005-08-15,47685,47686,NA,117.855,80,18.98,97.29,2.385,9.72,35.415,450,0,0,0,300,300,300,NA,NA,1,3355,2005-05-26,3,176,0,2005-06-25,52,7643,146,227,SU 2005,1.8746626671263373,-1.373995072403854
7291,F,2005,AKB,2005,KL,1,2005-08-31,46772,46773,NA,38.43,17,19.95,14.4,0,13.77,285.435,450,0,0,0,300,300,300,NA,NA,1,3248,2005-05-24,4,183,0,2005-07-02,61,6392,144,243,KL 2005,-0.4736843843913371,-1.373995072403854
7088,F,2005,AKB,2005,SU,1,2005-08-18,46757,46758,NA,188.955,75,9,70.38,0,6.12,15.03,450,71.79,46.38,0,300,300,300,NA,NA,1,3337,2005-05-21,3,159,36,2005-06-29,66,6569,141,230,SU 2005,2.044732731208945,-1.2404825914393398
6942,F,2005,AKB,2005,SU,1,2005-09-06,46566,46858,NA,125.46,70,15.98,83.115,1.08,12.015,73.035,450,0,277.71,0,300,300,300,NA,NA,1,3353,2005-06-24,4,182,19,2005-08-01,87,7553,175,249,SU 2005,1.5204064257641277,-2.5383760948240446
7886,M,2005,AKB,2005,KL,1,2005-09-13,46441,46447,NA,39.42,22,5,39.645,0,40.59,237.24,450,0,297.06,0,300,300,300,NA,NA,1,3250,2005-06-20,3,174,13,2005-07-27,70,6424,171,256,KL 2005,-0.9485332325009541,-2.6195066727068386
6882,F,2005,AKB,2005,KL,1,2005-08-31,46833,46834,NA,80.055,20,13.95,24.39,0,16.425,113.715,450,0.27,297.72,0,300,300,300,NA,NA,1,3257,2005-06-13,3,167,13,2005-07-21,63,6507,164,243,KL 2005,0.2542739981837515,-2.6210404158857856
10138,M,2005,AKB,2005,KL,1,2005-09-13,46835,46836,NA,54.27,17,23.03,27.27,2.61,18.225,159.885,450,0.54,299.1,0,300,300,300,NA,NA,1,3257,2005-06-13,3,167,13,2005-07-21,62,6507,164,256,KL 2005,0.2020717794041585,-2.6255929712650232
6512,F,2005,AKB,2005,SU,1,2005-08-17,46809,46810,NA,113.49,75,20.03,79.605,9.585,9.27,18.63,450,0,300,0,300,300,300,NA,NA,1,3347,2005-06-06,3,160,13,2005-07-14,61,7278,157,229,SU 2005,1.9450779191203564,-2.631833489191356
7392,M,2005,AKB,2005,KL,1,2005-08-01,47000,49595,NA,99.63,97,7.1,252.225,0,3.42,25.515,450,0,300,0,300,300,300,NA,NA,1,3258,2005-05-17,4,138,12,2005-06-24,63,6529,137,213,KL 2005,1.2743441902366255,-2.631833489191356
10191,F,2005,AKB,2005,SU,1,2005-08-23,48428,46795,NA,139.86,74,12.98,107.595,0,9.63,49.725,450,0,300,0,300,300,300,NA,NA,1,3349,2005-06-02,3,156,14,2005-07-10,60,7387,153,235,SU 2005,1.6097812581498678,-2.631833489191356
6492,F,2005,AKB,2005,KL,1,2005-09-16,48209,48210,NA,120.96,91,27.98,67.41,13.545,12.96,60.3,450,0,300,0,300,300,300,NA,NA,1,3281,2005-07-20,5,205,14,2005-08-21,67,8576,201,259,KL 2005,2.4432030818923427,-2.631833489191356
10131,F,2005,AKB,2005,KL,1,2005-08-21,46784,46785,NA,156.51,92,41.03,90.585,1.35,0,63.405,450,0,300,0,300,300,300,NA,NA,1,3247,2005-05-31,4,152,10,2005-07-08,61,6391,151,233,KL 2005,3.145443131819183,-2.631833489191356
6483,M,2005,AKB,2005,KL,1,2005-09-08,46867,46868,NA,107.055,83,31.05,37.35,48.105,18,71.145,450,0,300,0,300,300,300,NA,NA,1,3275,2005-07-04,2,190,15,2005-08-09,108,7609,185,251,KL 2005,2.520614284020731,-2.631833489191356
10140,F,2005,AKB,2005,KL,1,2005-09-08,46865,46866,NA,119.295,53,19.95,42.975,0,8.595,104.76,450,0,300,0,300,300,300,NA,NA,1,3275,2005-07-04,2,190,15,2005-08-09,101,7609,185,251,KL 2005,1.3292293884100876,-2.631833489191356
8745,M,2005,AKB,2005,KL,1,2005-09-15,-,F2823,NA,44.145,34,12,21.15,2.79,9.045,240.885,450,0,300,0,300,300,300,NA,NA,1,3268,2005-07-19,2,210,24,2005-08-20,87,7092,200,258,KL 2005,-0.2776633074006203,-2.631833489191356
10139,F,2005,AKB,2005,SU,1,2005-09-03,46859,46860,NA,59.76,31,5,24.84,0,18.09,254.115,450,0,300,0,300,300,300,NA,NA,1,3346,2005-07-01,3,183,10,2005-08-08,73,7172,182,246,SU 2005,-0.5985069289277596,-2.631833489191356
7136,F,2005,AKB,2005,KL,1,2005-08-28,46839,46840,NA,50.58,19,2,86.625,0,4.32,264.465,450,0,300,0,300,300,300,NA,NA,1,3271,2005-06-14,4,167,12,2005-07-23,55,7148,165,240,KL 2005,-1.0935362685447867,-2.631833489191356
11254,F,2009,RWT,2009,KL,1,2009-08-10,65166,65167,NA,220.725,33,25,17.505,4.14,14.67,2.025,450,271.77,3.99,108,50.9,24.37,300,NA,NA,0,4461,2009-05-11,4,134,15,2009-06-06,64,10181,131,222,KL 2009,2.35919877739822,4.166781897604174
11256,F,2009,RWT,2009,KL,1,2009-08-10,65170,65171,NA,129.105,104,15,32.175,63.63,7.155,1.125,450,66.54,214.29,48,270,234.36,300,NA,NA,0,4461,2009-05-11,4,134,15,2009-06-06,64,10181,131,222,KL 2009,2.796393470356063,-0.5619189557700454
13288,F,2012,ADK,2012,KL,1,2012-06-13,81609,67989,NA,238.33,75,3,174.02,77.89,10.52,0,450,272.84,110.64,140,54.74,9.39,300,NA,NA,0,5523,2012-04-17,3,109,10,2012-05-12,46.5,11220,108,165,KL 2012,2.386689878119989,4.465432394225393
13500,F,2012,ADK,2012,KL,1,2012-07-13,82085,82086,NA,201.55,42,4,165.99,62.53,11.01,0,450,182.27,229.71,42,6.91,4.61,300,NA,NA,0,5520,2012-05-16,3,137,8.9,2012-06-11,47.4,10993,137,195,KL 2012,1.5614085466119771,1.6081778577043382
13354,F,2012,ADK,2012,SU,1,2012-06-11,81774,81775,NA,243.85,70,5,187.34,46.7,12.28,0,450,147.56,248.01,18,84.42,2.75,300,NA,NA,0,5645,2012-04-15,3,107,10.2,2012-05-14,67.7,12477,106,163,SU 2012,2.221000189816365,0.5732791292067859
13616,F,2012,ADK,2012,SU,1,2012-07-11,82370,82371,NA,184.37,45,1,219.52,9.11,11.52,17.32,450,174.05,94.87,17,88.29,19.32,300,NA,NA,0,5620,2012-05-19,3,155,27.6,2012-06-13,42.9,10654,140,193,SU 2012,0.9053065900231824,1.2372973504363316
13533,M,2012,ADK,2012,KL,1,2012-07-17,82151,82152,NA,268.98,42,9,146.44,16.74,15.91,0,450,192.9,154.28,11,42.04,8.5,300,NA,NA,0,5522,2012-05-16,3,138,10.1,2012-06-11,51.2,10995,137,199,KL 2012,2.013395906030673,1.1537212395518088
13147,F,2012,ADK,2012,KL,1,2012-05-28,81227,81228,NA,228.85,71,3,159.56,0,18.8,0,450,243.86,165.48,8,36.7,6.6,300,NA,NA,0,5530,2012-04-06,3,99,12.5,2012-05-01,61,11537,97,149,KL 2012,1.8399407749160197,1.300902680077771
13394,F,2012,ADK,2012,KL,1,2012-07-07,H1861,H1862,Y*/G,186.79,76,10,93.864,45.511,20.375,134.494,450,40.073,250.161,5,23.626,1.154,300,N,NA,0,5548,2012-04-30,3,123,13.4,2012-05-26,51.4,12423,121,189,KL 2012,1.7640562286668144,0.01795167400068114
13397,F,2012,ARM,2012,SU,1,2012-08-07,H1868,H1869,W*/Y*,125.664,46,6,212.651,103.181,9.873,92.951,450,247.174,42.348,11,4.137,0.734,300,N,NA,0,5624,2012-05-01,2,126,16.7,2012-05-27,61.7,11576,122,220,SU 2012,0.9340513267838181,2.0390934663132763
13609,M,2012,ARM,2012,SU,1,2012-07-24,H2356,H2357,Y*/Y,87.801,14,5,232.193,4.001,40.107,315.298,450,220.665,70.412,5,118.118,0.1,300,NA,NA,0,5648,2012-05-21,3,147,19.1,2012-06-15,45.5,12973,142,206,SU 2012,-1.4272996998777312,1.255320713834824
13323,F,2012,ADK,2012,KL,1,2012-07-01,81678,81676,NA,295.9,96,0,133.7,14.7,11.8,0,450,188.19,199.13,5,94.7,69.77,300,NA,NA,0,5547,2012-04-28,2,123,15.8,2012-05-22,47.7,12422,119,183,KL 2012,2.767338298151387,0.38740138528010304
13644,M,2012,ADK,2012,KL,1,2012-07-28,82472,82473,NA,234.74,24,6,63.66,31.14,38.64,82.14,450,180.36,195.2,3,145.31,1.5,300,NA,NA,0,5533,2012-06-02,4,156,12.2,2012-06-26,38.1,11622,154,210,KL 2012,1.2130862110382439,0.3996465318288053
13332,F,2012,ARM,2012,KL,1,2012-07-08,H1696,H1697,R*/O,198.753,76,9,24.654,97.221,9.325,90.895,450,62.221,226.187,15,117.73,100.446,300,N,NA,0,5536,2012-05-11,1,138,21.2,2012-06-04,71.2,11841,132,190,KL 2012,2.4436084697198934,-0.2844944731633347
13171,M,2012,ADK,2012,KL,1,2012-06-03,H1281,H1282,B*/G*,52.282,45,5,324.019,42.324,11.868,60.526,450,35.493,258.838,0,261.065,0.6,300,N,NA,0,5515,2012-04-08,2,102,16.6,2012-05-05,67.7,10318,99,155,KL 2012,-0.08921719604325577,-1.0140454744263643
13351,M,2012,ADK,2012,KL,1,2012-07-30,81768,81769,NA,91.45,15,6,345.13,3.7,6.91,0,450,197.78,175.07,2,16.22,10.81,300,NA,NA,0,5540,2012-04-20,4,112,12,2012-05-16,58.2,11897,111,212,KL 2012,-0.2632417404694208,0.9781301608503635
12165,M,2012,ADK,2012,SU,1,2012-07-21,67639,67640,NA,109.9,44,0,267.28,199.16,11.11,0,450,185.12,208.65,2,203.6,44.85,300,NA,NA,0,5644,2012-04-11,3,103,10,2012-05-06,54.3,12462,102,203,SU 2012,1.292884364159668,-0.03500948892327091
13405,M,2012,ADK,2012,SU,1,2012-07-05,81884,81885,NA,195.82,38,0,136.22,59.16,23.83,25.17,450,173.43,207.23,2,194.79,173.27,300,NA,NA,0,5624,2012-05-01,2,126,16.4,2012-05-27,61,11576,122,187,SU 2012,1.1991547247617425,-0.5395638339268926
13347,F,2012,ADK,2012,SU,1,2012-06-10,81760,81761,NA,118.95,18,2,243.54,5.33,17.34,0,450,145.22,169.65,0,300,2.27,300,NA,NA,0,5634,2012-04-15,1,138,0,2012-05-17,72.2,12003,106,162,SU 2012,0.01110122145193453,-0.2874653363140596
